Scopus - Affiliation details

"Affiliation name:","Wrocław University of Science and Technology"
"Scopus affiliation ID:","60019987"

"Subject areas","Documents"

"Engineering","14055"
"Physics and Astronomy","9242"
"Materials Science","8359"
"Computer Science","8075"
"Chemistry","6434"
"Mathematics","6055"
"Chemical Engineering","3355"
"Biochemistry, Genetics and Molecular Biology","2303"
"Environmental Science","2244"
"Energy","1894"
"Earth and Planetary Sciences","1456"
"Medicine","886"
"Decision Sciences","771"
"Social Sciences","723"

"© 2021 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
