p  Pflow  <smax>
0  0  0
0.01  0  1.5278
0.02  0  2.1582
0.03  0  2.8201
0.04  0  3.9021
0.05  0  5.4728
0.06  0  7.394
0.07  0  9.7852
0.08  0  12.4038
0.09  0  15.3332
0.1  0  18.3133
0.11  0  21.5992
0.12  0  25.0093
0.13  0  28.5732
0.14  0  32.1276
0.15  0  36.0391
0.16  0  39.8059
0.17  0  43.7966
0.18  0  47.82
0.19  0  51.8124
0.2  0  55.8436
0.21  0  60.0314
0.22  0  63.8214
0.23  0  67.9106
0.24  0  72.0691
0.25  0  76.0305
0.26  0  79.9897
0.27  0  83.914
0.28  0  87.7226
0.29  0  91.537
0.3  0  95.1198
0.31  0  98.6857
0.32  0  102.274
0.33  0  105.522
0.34  0  108.911
0.35  0  112.175
0.36  0  115.122
0.37  0  117.815
0.38  0  120.552
0.39  0  123.314
0.4  0.0011  126.021
0.41  0.0015  128.19
0.42  0.0037  131.357
0.43  0.0092  134.135
0.44  0.0193  138.147
0.45  0.0419  143.572
0.46  0.0867  152.56
0.47  0.1481  165.055
0.48  0.2417  182.361
0.49  0.3574  208.759
0.5  0.5085  243.787
0.51  0.6456  291.607
0.52  0.7622  348.179
0.53  0.8517  423.922
0.54  0.9132  510.077
0.55  0.9568  615.661
0.56  0.9801  729.08
0.57  0.9901  846.499
0.58  0.9964  972.536
0.59  0.9979  1088.73
0.6  0.9995  1199.89
0.61  0.9998  1292.54
0.62  1  1371.58
0.63  1  1438.21
0.64  0.9999  1494.16
0.65  1  1543.03
0.66  1  1585.65
0.67  1  1624.79
0.68  1  1660.39
0.69  1  1693.87
0.7  1  1725.06
0.71  1  1756.24
0.72  1  1785.93
0.73  1  1815.25
0.74  1  1843.13
0.75  1  1870.72
0.76  1  1897.66
0.77  1  1924.88
0.78  1  1951.4
0.79  1  1978.09
0.8  1  2004.09
0.81  1  2030.54
0.82  1  2056
0.83  1  2082.1
0.839999  1  2107.99
0.849999  1  2133.85
0.859999  1  2159.55
0.869999  1  2185.26
0.879999  1  2210.68
0.889999  1  2236.07
0.899999  1  2261.5
0.909999  1  2287.12
0.919999  1  2312.43
0.929999  1  2337.86
0.939999  1  2363
0.949999  1  2388.6
0.959999  1  2414.09
0.969999  1  2439.28
0.979999  1  2464.53
0.989999  1  2489.72
0.999999  1  2515.33
