p  Pflow  <smax>
0  0  0
0.01  0  0.6537
0.02  0  0.9437
0.03  0  1.1053
0.04  0  1.2502
0.05  0  1.3877
0.06  0  1.5301
0.07  0  1.6913
0.08  0  1.8319
0.09  0  2.0017
0.1  0  2.1536
0.11  0  2.3351
0.12  0  2.5244
0.13  0  2.666
0.14  0  2.847
0.15  0  3.0507
0.16  0  3.2542
0.17  0  3.4455
0.18  0  3.6593
0.19  0  3.8868
0.2  0  4.0812
0.21  0  4.3474
0.22  0  4.5781
0.23  0  4.8314
0.24  0.0001  5.081
0.25  0.0004  5.3191
0.26  0.0002  5.7368
0.27  0.0003  5.9676
0.28  0.0003  6.3509
0.29  0.0009  6.6727
0.3  0.0009  7.111
0.31  0.001  7.4962
0.32  0.0019  7.8417
0.33  0.0028  8.349
0.34  0.0033  8.7529
0.35  0.0047  9.2987
0.36  0.0061  9.8485
0.37  0.0101  10.4975
0.38  0.0119  11.0442
0.39  0.0163  11.6748
0.4  0.0221  12.3329
0.41  0.025  13.0609
0.42  0.0302  13.945
0.43  0.0403  14.7038
0.44  0.0551  15.786
0.45  0.0676  16.7388
0.46  0.0866  17.8028
0.47  0.1005  18.7794
0.48  0.116  19.9582
0.49  0.1379  21.1527
0.5  0.1675  22.3968
0.51  0.1998  23.9366
0.52  0.229  25.573
0.53  0.2589  26.9963
0.54  0.3079  28.7722
0.55  0.3482  30.4652
0.56  0.3773  32.2529
0.57  0.4313  34.1619
0.58  0.4747  36.1953
0.59  0.5176  38.2706
0.6  0.5666  40.3691
0.61  0.615  42.5536
0.62  0.6474  44.706
0.63  0.6902  46.9611
0.64  0.7255  49.1097
0.65  0.7655  51.1198
0.66  0.8032  53.6738
0.67  0.8365  55.832
0.68  0.8634  57.8479
0.69  0.885  60.1866
0.7  0.909  62.1559
0.71  0.9295  64.0058
0.72  0.937  65.6562
0.73  0.9597  67.8833
0.74  0.9678  69.623
0.75  0.9765  71.2047
0.76  0.9809  72.7928
0.77  0.9888  74.5144
0.78  0.9914  75.8401
0.79  0.9944  77.2893
0.8  0.9951  78.4485
0.81  0.9982  79.8376
0.82  0.9988  81.0308
0.83  0.9988  82.2462
0.839999  0.9993  83.3884
0.849999  0.9993  84.4895
0.859999  1  85.624
0.869999  0.9999  86.6646
0.879999  1  87.7389
0.889999  1  88.9094
0.899999  1  89.9414
0.909999  1  90.8888
0.919999  1  91.9145
0.929999  1  92.9157
0.939999  1  93.9577
0.949999  1  94.9868
0.959999  1  95.9896
0.969999  1  96.983
0.979999  1  97.9951
0.989999  1  99.0011
0.999999  1  99.9999
