p  Pflow  <smax>
0  0  0
0.01  0  1.3965
0.02  0  1.949
0.03  0  2.3056
0.04  0  2.6387
0.05  0  2.9983
0.06  0  3.3419
0.07  0  3.6771
0.08  0  4.0109
0.09  0  4.3795
0.1  0  4.7197
0.11  0  5.0951
0.12  0  5.4905
0.13  0  5.8724
0.14  0  6.2972
0.15  0  6.7492
0.16  0  7.1872
0.17  0  7.6491
0.18  0  8.1577
0.19  0  8.6762
0.2  0  9.2612
0.21  0  9.8559
0.22  0  10.5174
0.23  0  11.1631
0.24  0  11.8624
0.25  0  12.6147
0.26  0  13.3807
0.27  0  14.2442
0.28  0  15.1611
0.29  0  16.0866
0.3  0  17.1623
0.31  0  18.3105
0.32  0  19.5622
0.33  0  20.9452
0.34  0  22.2024
0.35  0  23.7756
0.36  0  25.51
0.37  0  27.2296
0.38  0  29.2495
0.39  0  31.4561
0.4  0  33.9056
0.41  0  36.5527
0.42  0  39.3937
0.43  0  42.5281
0.44  0  45.9948
0.45  0  49.8485
0.46  0  54.3272
0.47  0  59.5287
0.48  0  64.6664
0.49  0  70.554
0.5  0  77.7376
0.51  0  85.7787
0.52  0.0001  95.0976
0.53  0.0001  105.54
0.54  0  117.873
0.55  0  130.573
0.56  0.0003  147.542
0.57  0.0007  166.708
0.58  0.002  189.432
0.59  0.0036  214.391
0.6  0.0088  246.232
0.61  0.0154  284.511
0.62  0.0259  328.917
0.63  0.051  383.339
0.64  0.084  439.482
0.65  0.1418  516.761
0.66  0.2152  599.568
0.67  0.3119  694.336
0.68  0.4233  800.039
0.69  0.549  918.794
0.7  0.6582  1036.25
0.71  0.7668  1157.54
0.72  0.844  1277.75
0.73  0.9165  1390.24
0.74  0.952  1496.17
0.75  0.9735  1584.18
0.76  0.9907  1665.5
0.77  0.9961  1740.04
0.78  0.9982  1802.2
0.79  0.9996  1858.14
0.8  0.9997  1908.21
0.81  1  1951.2
0.82  1  1991.18
0.83  1  2029.28
0.839999  1  2063.73
0.849999  1  2097.76
0.859999  1  2129.52
0.869999  1  2159.5
0.879999  1  2188.34
0.889999  1  2216.01
0.899999  1  2243.66
0.909999  1  2270.78
0.919999  1  2296.78
0.929999  1  2322.68
0.939999  1  2348.49
0.949999  1  2374.03
0.959999  1  2399.36
0.969999  1  2424.67
0.979999  1  2449.91
0.989999  1  2474.87
0.999999  1  2500
